Type,,,,,,,,,,,,,,,,,,,,,,,,,
your_variable_name_goes_here,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
your_variable_name_goes_here,A,Protein1,Protein1,Protein1,Protein1,Buffer,Buffer,Buffer,Buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_variable_name_goes_here,B,Protein1,Protein1,Protein1,Protein1,Buffer,Buffer,Buffer,Buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_variable_name_goes_here,C,Protein1,Protein1,Protein1,Protein1,Buffer,Buffer,Buffer,Buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_variable_name_goes_here,D,Protein1,Protein1,Protein1,Protein1,Buffer,Buffer,Buffer,Buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_variable_name_goes_here,E,Protein1,Protein1,Protein1,Protein1,Buffer,Buffer,Buffer,Buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_variable_name_goes_here,F,Protein1,Protein1,Protein1,Protein1,Buffer,Buffer,Buffer,Buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_variable_name_goes_here,G,Protein1,Protein1,Protein1,Protein1,Buffer,Buffer,Buffer,Buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_variable_name_goes_here,H,Protein1,Protein1,Protein1,Protein1,Buffer,Buffer,Buffer,Buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_variable_name_goes_here,I,Protein1,Protein1,Protein1,Protein1,Buffer,Buffer,Buffer,Buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_variable_name_goes_here,J,Protein1,Protein1,Protein1,Protein1,Buffer,Buffer,Buffer,Buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_variable_name_goes_here,K,Protein1,Protein1,Protein1,Protein1,Buffer,Buffer,Buffer,Buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_variable_name_goes_here,L,Protein1,Protein1,Protein1,Protein1,Buffer,Buffer,Buffer,Buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_variable_name_goes_here,M,Protein1,Protein1,Protein1,Protein1,Buffer,Buffer,Buffer,Buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_variable_name_goes_here,N,Protein1,Protein1,Protein1,Protein1,Buffer,Buffer,Buffer,Buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_variable_name_goes_here,O,Protein1,Protein1,Protein1,Protein1,Buffer,Buffer,Buffer,Buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_variable_name_goes_here,P,Protein1,Protein1,Protein1,Protein1,Buffer,Buffer,Buffer,Buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
each_new_block_is_a_different_variable,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
each_new_block_is_a_different_variable,A,Compound1,Compound1,Compound1,Compound1,Compound1,Compound1,Compound1,Compound1,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
each_new_block_is_a_different_variable,B,Compound1,Compound1,Compound1,Compound1,Compound1,Compound1,Compound1,Compound1,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
each_new_block_is_a_different_variable,C,Compound1,Compound1,Compound1,Compound1,Compound1,Compound1,Compound1,Compound1,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
each_new_block_is_a_different_variable,D,Compound1,Compound1,Compound1,Compound1,Compound1,Compound1,Compound1,Compound1,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
each_new_block_is_a_different_variable,E,Compound1,Compound1,Compound1,Compound1,Compound1,Compound1,Compound1,Compound1,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
each_new_block_is_a_different_variable,F,Compound2,Compound2,Compound2,Compound2,Compound2,Compound2,Compound2,Compound2,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
each_new_block_is_a_different_variable,G,Compound2,Compound2,Compound2,Compound2,Compound2,Compound2,Compound2,Compound2,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
each_new_block_is_a_different_variable,H,Compound2,Compound2,Compound2,Compound2,Compound2,Compound2,Compound2,Compound2,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
each_new_block_is_a_different_variable,I,Compound2,Compound2,Compound2,Compound2,Compound2,Compound2,Compound2,Compound2,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
each_new_block_is_a_different_variable,J,Compound2,Compound2,Compound2,Compound2,Compound2,Compound2,Compound2,Compound2,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
each_new_block_is_a_different_variable,K,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
each_new_block_is_a_different_variable,L,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
