Type																									
Dye		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
Dye	A	A015	A020	L006	L032	L037	L039	L041	L061	L062	L073	L078	L097	L098	MWC053	MWC061	MWC062	TW385	None	Empty	Empty	Empty	Empty	Empty	Empty
Dye	B	A015	A020	L006	L032	L037	L039	L041	L061	L062	L073	L078	L097	L098	MWC053	MWC061	MWC062	TW385	None	Empty	Empty	Empty	Empty	Empty	Empty
Dye	C	A015	A020	L006	L032	L037	L039	L041	L061	L062	L073	L078	L097	L098	MWC053	MWC061	MWC062	TW385	None	Empty	Empty	Empty	Empty	Empty	Empty
Dye	D	A015	A020	L006	L032	L037	L039	L041	L061	L062	L073	L078	L097	L098	MWC053	MWC061	MWC062	TW385	None	Empty	Empty	Empty	Empty	Empty	Empty
Dye	E	A015	A020	L006	L032	L037	L039	L041	L061	L062	L073	L078	L097	L098	MWC053	MWC061	MWC062	TW385	None	Empty	Empty	Empty	Empty	Empty	Empty
Dye	F	A015	A020	L006	L032	L037	L039	L041	L061	L062	L073	L078	L097	L098	MWC053	MWC061	MWC062	TW385	None	Empty	Empty	Empty	Empty	Empty	Empty
Dye	G	A015	A020	L006	L032	L037	L039	L041	L061	L062	L073	L078	L097	L098	MWC053	MWC061	MWC062	TW385	None	Empty	Empty	Empty	Empty	Empty	Empty
Dye	H	A015	A020	L006	L032	L037	L039	L041	L061	L062	L073	L078	L097	L098	MWC053	MWC061	MWC062	TW385	None	Empty	Empty	Empty	Empty	Empty	Empty
Dye	I	A015	A020	L006	L032	L037	L039	L041	L061	L062	L073	L078	L097	L098	MWC053	MWC061	MWC062	TW385	None	Empty	Empty	Empty	Empty	Empty	Empty
Dye	J	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	L073	L078	L097	L098	MWC053	MWC061	MWC062	TW385	Empty	Empty	Empty	Empty	Empty	Empty	Empty
Dye	K	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
Dye	L	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
Dye	M	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
Dye	N	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
Dye	O	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
Dye	P																		Empty	Empty	Empty	Empty	Empty	Empty	Empty
DNA		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
DNA	A	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	Empty	Empty	Empty	Empty	Empty	Empty
DNA	B	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	Empty	Empty	Empty	Empty	Empty	Empty
