Type,,,,,,,,,,,,,,,,,,,,,,,,,
Dye,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Dye,A,A015,A020,L006,L032,L037,L039,L041,L061,L062,L073,L078,L097,L098,MWC053,MWC061,MWC062,TW385,None,,,,,,
Dye,B,A015,A020,L006,L032,L037,L039,L041,L061,L062,L073,L078,L097,L098,MWC053,MWC061,MWC062,TW385,None,,,,,,
Dye,C,A015,A020,L006,L032,L037,L039,L041,L061,L062,L073,L078,L097,L098,MWC053,MWC061,MWC062,TW385,None,,,,,,
Dye,D,A015,A020,L006,L032,L037,L039,L041,L061,L062,L073,L078,L097,L098,MWC053,MWC061,MWC062,TW385,None,,,,,,
Dye,E,A015,A020,L006,L032,L037,L039,L041,L061,L062,L073,L078,L097,L098,MWC053,MWC061,MWC062,TW385,None,,,,,,
Dye,F,A015,A020,L006,L032,L037,L039,L041,L061,L062,L073,L078,L097,L098,MWC053,MWC061,MWC062,TW385,None,,,,,,
Dye,G,A015,A020,L006,L032,L037,L039,L041,L061,L062,L073,L078,L097,L098,MWC053,MWC061,MWC062,TW385,None,,,,,,
Dye,H,A015,A020,L006,L032,L037,L039,L041,L061,L062,L073,L078,L097,L098,MWC053,MWC061,MWC062,TW385,None,,,,,,
Dye,I,A015,A020,L006,L032,L037,L039,L041,L061,L062,L073,L078,L097,L098,MWC053,MWC061,MWC062,TW385,None,,,,,,
Dye,J,,,,,,,,,,,,,,,,,,,,,,,,
Dye,K,,,,,,,,,,,,,,,,,,,,,,,,
Dye,L,,,,,,,,,,,,,,,,,,,,,,,,
Dye,M,,,,,,,,,,,,,,,,,,,,,,,,
Dye,N,,,,,,,,,,,,,,,,,,,,,,,,
Dye,O,,,,,,,,,,,,,,,,,,,,,,,,
Dye,P,,,,,,,,,,,,,,,,,,,,,,,,
DNA,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
DNA,A,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,,,,,,
DNA,B,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,,,,,,
DNA,C,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,601DNA,,,,,,
DNA,D,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,,,,,,
DNA,E,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,,,,,,
DNA,F,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,601DNAgg,,,,,,
